UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LOCALIDAD;CONSUMO_KW;POTENCIA_CONTRATADA;MONTO_SOLES
151025;LIMA;YAUYOS;QUINOCAY;QUINOCAY;6;3;7.5
151017;LIMA;YAUYOS;HUA¥EC;HUAÑEC;0;3;6.2
151029;LIMA;YAUYOS;TAURIPAMPA;TAURIPAMPA;1;3;6.4
151022;LIMA;YAUYOS;OMAS;ESQUINA DE OMAS;44;3;34.2
151017;LIMA;YAUYOS;HUA¥EC;HUA¥EC;0;3;6.2
151022;LIMA;YAUYOS;OMAS;TAMARA;1;3;6.3
151024;LIMA;YAUYOS;QUINCHES;QUINCHES;13;3;9.1
151013;LIMA;YAUYOS;HUAMPARA;HUAMPARA;0;3;6.2
150402;LIMA;CANTA;ARAHUAY;ARAHUAY;0;1;6.2
150402;LIMA;CANTA;ARAHUAY;ARAHUAY;0;1;6.2
150402;LIMA;CANTA;ARAHUAY;ARAHUAY;1;1;12.1
150402;LIMA;CANTA;ARAHUAY;ARAHUAY;0;1;5.5
150402;LIMA;CANTA;ARAHUAY;ARAHUAY;25;1;2
150402;LIMA;CANTA;ARAHUAY;ARAHUAY;25;1;2.6
150402;LIMA;CANTA;ARAHUAY;ARAHUAY;0;1;5.8
150402;LIMA;CANTA;ARAHUAY;COLLO;0;1;6.1
150402;LIMA;CANTA;ARAHUAY;COLLO;0;1;4.7
150402;LIMA;CANTA;ARAHUAY;SHIMAY;13;1;3.6
150402;LIMA;CANTA;ARAHUAY;ARCHO;39;1;53.9
150402;LIMA;CANTA;ARAHUAY;LICAHUASI;22;1;12.9
150402;LIMA;CANTA;ARAHUAY;LICAHUASI;7;1;7.4
150402;LIMA;CANTA;ARAHUAY;OROBEL;1;1;5.9
150405;LIMA;CANTA;LACHAQUI;SAN JUAN DE VISCAS (VISCAS);1;1;6.4
150405;LIMA;CANTA;LACHAQUI;SAN JUAN DE VISCAS (VISCAS);0;1;5.7
150405;LIMA;CANTA;LACHAQUI;SAN JUAN DE VISCAS (VISCAS);16;1;9.3
150405;LIMA;CANTA;LACHAQUI;SAN JUAN DE VISCAS (VISCAS);0;1;6
150405;LIMA;CANTA;LACHAQUI;SAN LORENZO DE COCHABAMBA;1;1;6
150404;LIMA;CANTA;HUAROS;SANTA ROSA DE ACOCHACA;18;1;8.4
150404;LIMA;CANTA;HUAROS;SANTA ROSA DE ACOCHACA;0;1;6.1
150404;LIMA;CANTA;HUAROS;HUACOS;2;1;22.8
150404;LIMA;CANTA;HUAROS;HUACOS;0;1;6.2
150404;LIMA;CANTA;HUAROS;HUACOS;8;1;7.9
150403;LIMA;CANTA;HUAMANTANGA;MARCO;3;1;5.2
150403;LIMA;CANTA;HUAMANTANGA;MARCO;0;1;6
150403;LIMA;CANTA;HUAMANTANGA;MARCO;0;1;5.5
150403;LIMA;CANTA;HUAMANTANGA;PURUCHUCO;1;1;6.1
150403;LIMA;CANTA;HUAMANTANGA;PURUCHUCO;1;1;6.1
150403;LIMA;CANTA;HUAMANTANGA;QUIPAN;0;1;6
150403;LIMA;CANTA;HUAMANTANGA;QUIPAN;0;1;6.2
150403;LIMA;CANTA;HUAMANTANGA;QUIPAN;0;1;6.2
150403;LIMA;CANTA;HUAMANTANGA;QUIPAN;0;1;6.2
150403;LIMA;CANTA;HUAMANTANGA;QUIPAN;0;1;6
150403;LIMA;CANTA;HUAMANTANGA;QUIPAN;0;1;22.4
150611;LIMA;HUARAL;SUMBILCA;SUMBILCA;0;1;6.1
