UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,LOCALIDAD,CONSUMO_KW,POTENCIA_CONTRATADA,MONTO_SOLES,Latitud,Longitud
151025,LIMA,YAUYOS,QUINOCAY,QUINOCAY,6.0,3.0,7.5,-12.34070565,-76.28017574481058
151017,LIMA,YAUYOS,HUA¥EC,HUAÑEC,0.0,3.0,6.2,-12.5147218,-76.2893182
151029,LIMA,YAUYOS,TAURIPAMPA,TAURIPAMPA,1.0,3.0,6.4,-12.6171667,-76.162082
151022,LIMA,YAUYOS,OMAS,ESQUINA DE OMAS,44.0,3.0,34.2,-12.5147208,-76.2892182
151017,LIMA,YAUYOS,HUA¥EC,HUA¥EC,0.0,3.0,6.2,-12.5147217,-76.2892182
151022,LIMA,YAUYOS,OMAS,TAMARA,1.0,3.0,6.3,-12.5147208,-76.2892182
151024,LIMA,YAUYOS,QUINCHES,QUINCHES,13.0,3.0,9.1,-12.3074173,-76.1431739
151013,LIMA,YAUYOS,HUAMPARA,HUAMPARA,0.0,3.0,6.2,-12.3602081,-76.1673655
150402,LIMA,CANTA,ARAHUAY,ARAHUAY,0.0,1.0,6.2,-11.6213221,-76.6703384
150402,LIMA,CANTA,ARAHUAY,ARAHUAY,0.0,1.0,6.2,-11.6213221,-76.6708384
150402,LIMA,CANTA,ARAHUAY,ARAHUAY,1.0,1.0,12.1,-11.6213221,-76.6713384
150402,LIMA,CANTA,ARAHUAY,ARAHUAY,0.0,1.0,5.5,-11.6213221,-76.6103384
150402,LIMA,CANTA,ARAHUAY,ARAHUAY,25.0,1.0,2.0,-11.6213221,-76.6723384
150402,LIMA,CANTA,ARAHUAY,ARAHUAY,25.0,1.0,2.6,-11.6213221,-76.6703334
150402,LIMA,CANTA,ARAHUAY,ARAHUAY,0.0,1.0,5.8,-11.6210221,-76.6773884
150402,LIMA,CANTA,ARAHUAY,COLLO,0.0,1.0,6.1,-11.6213221,-76.5703384
150402,LIMA,CANTA,ARAHUAY,COLLO,0.0,1.0,4.7,-11.6213241,-76.6703384
150402,LIMA,CANTA,ARAHUAY,SHIMAY,13.0,1.0,3.6,-11.6213221,-76.4703384
150402,LIMA,CANTA,ARAHUAY,ARCHO,39.0,1.0,53.9,-11.6213221,-76.6703384
150402,LIMA,CANTA,ARAHUAY,LICAHUASI,22.0,1.0,12.9,-11.6213221,-76.6703384
150402,LIMA,CANTA,ARAHUAY,LICAHUASI,7.0,1.0,7.4,-11.6213221,-76.6704384
150402,LIMA,CANTA,ARAHUAY,OROBEL,1.0,1.0,5.9,-11.6213221,-76.6703385
150405,LIMA,CANTA,LACHAQUI,SAN JUAN DE VISCAS (VISCAS),1.0,1.0,6.4,-11.5528976,-76.6269199
150405,LIMA,CANTA,LACHAQUI,SAN JUAN DE VISCAS (VISCAS),0.0,1.0,5.7,-11.5528476,-75.6269199
150405,LIMA,CANTA,LACHAQUI,SAN JUAN DE VISCAS (VISCAS),16.0,1.0,9.3,-11.5528976,-76.6269199
150405,LIMA,CANTA,LACHAQUI,SAN JUAN DE VISCAS (VISCAS),0.0,1.0,6.0,-11.5528976,-76.6269197
150405,LIMA,CANTA,LACHAQUI,SAN LORENZO DE COCHABAMBA,1.0,1.0,6.0,-11.5528976,-76.6269198
150404,LIMA,CANTA,HUAROS,SANTA ROSA DE ACOCHACA,18.0,1.0,8.4,-11.406225,-76.5757127
150404,LIMA,CANTA,HUAROS,SANTA ROSA DE ACOCHACA,0.0,1.0,6.1,-11.406225,-76.5757125
150404,LIMA,CANTA,HUAROS,HUACOS,2.0,1.0,22.8,-11.406235,-76.5757129
150404,LIMA,CANTA,HUAROS,HUACOS,0.0,1.0,6.2,-11.406245,-76.5757122
150404,LIMA,CANTA,HUAROS,HUACOS,8.0,1.0,7.9,-11.406225,-76.5757121
150403,LIMA,CANTA,HUAMANTANGA,MARCO,3.0,1.0,5.2,-11.4919219,-76.7490754
150403,LIMA,CANTA,HUAMANTANGA,MARCO,0.0,1.0,6.0,-11.4989219,-76.7490755
150403,LIMA,CANTA,HUAMANTANGA,MARCO,0.0,1.0,5.5,-11.4989419,-76.7490755
150403,LIMA,CANTA,HUAMANTANGA,PURUCHUCO,1.0,1.0,6.1,-11.4989119,-76.7490750
150403,LIMA,CANTA,HUAMANTANGA,PURUCHUCO,1.0,1.0,6.1,-11.4989299,-76.7490751
150403,LIMA,CANTA,HUAMANTANGA,QUIPAN,0.0,1.0,6.0,-11.4989249,-76.6490755
150403,LIMA,CANTA,HUAMANTANGA,QUIPAN,0.0,1.0,6.2,-11.4919219,-76.7490752
150403,LIMA,CANTA,HUAMANTANGA,QUIPAN,0.0,1.0,6.2,-11.4989219,-76.7490755
150403,LIMA,CANTA,HUAMANTANGA,QUIPAN,0.0,1.0,6.2,-11.4989219,-76.7490755
150403,LIMA,CANTA,HUAMANTANGA,QUIPAN,0.0,1.0,6.0,-11.4982219,-76.7490755
150403,LIMA,CANTA,HUAMANTANGA,QUIPAN,0.0,1.0,22.4,-11.4989211,-76.7490755
